"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 31 14:11:57 GMT 2022","Mon Oct 31 14:12:02 GMT 2022","4451","","SignInTest","","SignInTest","clickCreateAccount","clickCreateAccount","Description: Click on Create Account button, and show page Create Account"
"broken","Mon Oct 31 14:11:15 GMT 2022","Mon Oct 31 14:11:38 GMT 2022","22394","","women.TopsTest","","women.TopsTest","checkCurrentFilters","checkCurrentFilters","Description: Choose filters and check the correct current filters"
"failed","Mon Oct 31 14:11:51 GMT 2022","Mon Oct 31 14:11:57 GMT 2022","5746","","SignInTest","","SignInTest","loginWithInvalidCreds","loginWithInvalidCreds","Description: Login with invalid credentials"
"passed","Mon Oct 31 14:12:07 GMT 2022","Mon Oct 31 14:12:12 GMT 2022","4875","","MainTest","","MainTest","checkCorrectMainBanner","checkCorrectMainBanner","Description: Click on icon on main banner and check correct title new page"
"passed","Mon Oct 31 14:12:12 GMT 2022","Mon Oct 31 14:12:22 GMT 2022","10318","","MainTest","","MainTest","checkCorrectIcons","checkCorrectIcons","Description: Click on icons on banners and check correct title new pages"
"passed","Mon Oct 31 14:11:45 GMT 2022","Mon Oct 31 14:11:51 GMT 2022","6744","","SignInTest","","SignInTest","loginWithValidCreds","loginWithValidCreds","Description: Login with valid credentials"
"passed","Mon Oct 31 14:12:45 GMT 2022","Mon Oct 31 14:12:49 GMT 2022","3559","","SignUpTest","","SignUpTest","registerWithCorrectCreds","registerWithCorrectCreds","Description: Register with correct credentials"
"passed","Mon Oct 31 14:12:53 GMT 2022","Mon Oct 31 14:13:00 GMT 2022","6118","","SignUpTest","","SignUpTest","registerWithEmptyCreds","registerWithEmptyCreds","Description: Register with empty credentials"
"passed","Mon Oct 31 14:12:49 GMT 2022","Mon Oct 31 14:12:53 GMT 2022","4505","","SignUpTest","","SignUpTest","registerWithSmallPassword","registerWithSmallPassword","Description: Register with small password"
"failed","Mon Oct 31 14:12:02 GMT 2022","Mon Oct 31 14:12:07 GMT 2022","5253","","SignInTest","","SignInTest","loginWithEmptyCreds","loginWithEmptyCreds","Description: Login with empty credentials"
"failed","Mon Oct 31 14:12:22 GMT 2022","Mon Oct 31 14:12:28 GMT 2022","6157","","MainTest","","MainTest","validEmailSubscribe","validEmailSubscribe","Description: Empty email for subscribe"
"passed","Mon Oct 31 14:12:40 GMT 2022","Mon Oct 31 14:12:45 GMT 2022","5368","","SignUpTest","","SignUpTest","registerWithInvalidPassword","registerWithInvalidPassword","Description: Register with invalid password"
"passed","Mon Oct 31 14:12:28 GMT 2022","Mon Oct 31 14:12:40 GMT 2022","11811","","MainTest","","MainTest","checkCorrectNavButtons","checkCorrectNavButtons","Description: Click on navigation button and check correct title new pages"
"passed","Mon Oct 31 14:11:38 GMT 2022","Mon Oct 31 14:11:45 GMT 2022","6904","","women.TopsTest","","women.TopsTest","checkFiltersName","checkFiltersName","Description: Check the correct filters name"
