"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 31 13:58:09 GMT 2022","Mon Oct 31 13:58:14 GMT 2022","4511","","MainTest","","MainTest","checkCorrectMainBanner","checkCorrectMainBanner","Description: Click on icon on main banner and check correct title new page"
"failed","Mon Oct 31 13:57:53 GMT 2022","Mon Oct 31 13:57:59 GMT 2022","5563","","SignInTest","","SignInTest","loginWithInvalidCreds","loginWithInvalidCreds","Description: Login with invalid credentials"
"failed","Mon Oct 31 13:58:04 GMT 2022","Mon Oct 31 13:58:09 GMT 2022","5281","","SignInTest","","SignInTest","loginWithEmptyCreds","loginWithEmptyCreds","Description: Login with empty credentials"
"passed","Mon Oct 31 13:58:14 GMT 2022","Mon Oct 31 13:58:23 GMT 2022","9811","","MainTest","","MainTest","checkCorrectIcons","checkCorrectIcons","Description: Click on icons on banners and check correct title new pages"
"passed","Mon Oct 31 13:57:47 GMT 2022","Mon Oct 31 13:57:53 GMT 2022","6057","","SignInTest","","SignInTest","loginWithValidCreds","loginWithValidCreds","Description: Login with valid credentials"
"passed","Mon Oct 31 13:57:41 GMT 2022","Mon Oct 31 13:57:47 GMT 2022","6407","","women.TopsTest","","women.TopsTest","checkFiltersName","checkFiltersName","Description: Check the correct filters name"
"broken","Mon Oct 31 13:57:26 GMT 2022","Mon Oct 31 13:57:41 GMT 2022","14547","","women.TopsTest","","women.TopsTest","checkCurrentFilters","checkCurrentFilters","Description: Choose filters and check the correct current filters"
"passed","Mon Oct 31 13:58:39 GMT 2022","Mon Oct 31 13:58:44 GMT 2022","5249","","SignUpTest","","SignUpTest","registerWithInvalidPassword","registerWithInvalidPassword","Description: Register with invalid password"
"failed","Mon Oct 31 13:58:23 GMT 2022","Mon Oct 31 13:58:29 GMT 2022","5310","","MainTest","","MainTest","validEmailSubscribe","validEmailSubscribe","Description: Empty email for subscribe"
"passed","Mon Oct 31 13:57:59 GMT 2022","Mon Oct 31 13:58:04 GMT 2022","4863","","SignInTest","","SignInTest","clickCreateAccount","clickCreateAccount","Description: Click on Create Account button, and show page Create Account"
"passed","Mon Oct 31 13:58:44 GMT 2022","Mon Oct 31 13:58:48 GMT 2022","3680","","SignUpTest","","SignUpTest","registerWithCorrectCreds","registerWithCorrectCreds","Description: Register with correct credentials"
"passed","Mon Oct 31 13:58:53 GMT 2022","Mon Oct 31 13:58:58 GMT 2022","5004","","SignUpTest","","SignUpTest","registerWithEmptyCreds","registerWithEmptyCreds","Description: Register with empty credentials"
"passed","Mon Oct 31 13:58:29 GMT 2022","Mon Oct 31 13:58:39 GMT 2022","10357","","MainTest","","MainTest","checkCorrectNavButtons","checkCorrectNavButtons","Description: Click on navigation button and check correct title new pages"
"passed","Mon Oct 31 13:58:48 GMT 2022","Mon Oct 31 13:58:53 GMT 2022","5205","","SignUpTest","","SignUpTest","registerWithSmallPassword","registerWithSmallPassword","Description: Register with small password"
